Channel 1,Channel 2,Channel 3,Channel 4,Class,Row Number,Session,Subject
-1000.0,495.1171875,-339.84375,-983.3984375,0,108,6,Shawn
429.6875,-252.44140625,-349.12109375,-470.21484375,0,109,6,Shawn
-790.52734375,-1000.0,-497.0703125,-1000.0,0,110,6,Shawn
-104.98046875,-623.046875,-506.34765625,-7.32421875,0,111,6,Shawn
-1000.0,416.50390625,-363.28125,-769.04296875,0,112,6,Shawn
-131.34765625,57.12890625,-304.19921875,169.921875,0,113,6,Shawn
-769.53125,-981.4453125,-428.22265625,-1000.0,0,114,6,Shawn
255.859375,-840.33203125,-477.5390625,-222.65625,0,115,6,Shawn
-1000.0,229.4921875,-311.5234375,-781.25,0,116,6,Shawn
-238.28125,325.68359375,-315.91796875,284.1796875,0,117,6,Shawn
-779.296875,-742.67578125,-468.26171875,-1000.0,0,118,6,Shawn
420.8984375,-1000.0,-515.625,-504.8828125,0,119,6,Shawn
-1000.0,-102.5390625,-460.9375,-909.66796875,0,120,6,Shawn
-612.79296875,451.66015625,-374.0234375,646.484375,0,121,6,Shawn
991.69921875,-458.0078125,-415.52734375,-902.83203125,0,122,6,Shawn
897.4609375,-1000.0,-507.32421875,-1000.0,0,123,6,Shawn
-619.140625,-408.69140625,-469.7265625,398.4375,0,124,6,Shawn
-1000.0,500.0,-320.80078125,-837.890625,0,125,6,Shawn
226.5625,-173.33984375,-321.2890625,-212.40234375,0,126,6,Shawn
-760.25390625,-1000.0,-375.0,-1000.0,0,127,6,Shawn
11.23046875,-689.453125,-404.296875,-116.69921875,0,128,6,Shawn
-1000.0,352.5390625,-422.36328125,-777.83203125,0,129,6,Shawn
-206.54296875,119.140625,-376.953125,231.93359375,0,130,6,Shawn
-783.69140625,-924.31640625,-448.73046875,-1000.0,0,131,6,Shawn
268.5546875,-899.4140625,-528.3203125,-254.39453125,0,132,6,Shawn
-1000.0,109.375,-469.23828125,-788.0859375,0,133,6,Shawn
-311.03515625,376.953125,-349.12109375,343.26171875,0,134,6,Shawn
-809.5703125,-641.6015625,-400.390625,-1000.0,0,135,6,Shawn
