Channel_0,Average_0,Time,Time_Average,Channel_1,Average_1,Channel_3,Average_3,Blink,Don't Use,Blink_Averaged
-2926.234232,#DIV/0!,23.474,#DIV/0!,-3496.888736,#DIV/0!,-2455.924983,#DIV/0!,0,#DIV/0!,
-2905.978934,#DIV/0!,23.475,#DIV/0!,-3476.790514,#DIV/0!,-2377.469361,#DIV/0!,0,#DIV/0!,
-2910.044205,#DIV/0!,23.475,#DIV/0!,-3479.846012,#DIV/0!,-2409.722259,#DIV/0!,0,#DIV/0!,
-2927.131808,#DIV/0!,23.488,#DIV/0!,-3496.851337,#DIV/0!,-2474.605783,#DIV/0!,0,#DIV/0!,
-2928.321096,#DIV/0!,23.488,#DIV/0!,-3495.669529,#DIV/0!,-2406.924813,#DIV/0!,0,#DIV/0!,
-2905.36933,#DIV/0!,23.504,#DIV/0!,-3484.599425,#DIV/0!,-2383.445722,#DIV/0!,0,#DIV/0!,
-2923.597602,#DIV/0!,23.504,#DIV/0!,-3493.664943,#DIV/0!,-2470.749946,#DIV/0!,0,#DIV/0!,
-2915.111769,#DIV/0!,23.505,#DIV/0!,-3491.967028,#DIV/0!,-2435.897818,#DIV/0!,0,#DIV/0!,
-2903.450761,#DIV/0!,23.505,#DIV/0!,-3480.777247,#DIV/0!,-2369.66045,#DIV/0!,0,#DIV/0!,
-2914.805097,#DIV/0!,23.535,#DIV/0!,-3484.116978,#DIV/0!,-2440.920504,#DIV/0!,0,#DIV/0!,
-2929.424366,#DIV/0!,23.535,#DIV/0!,-3492.700048,#DIV/0!,-2461.613371,#DIV/0!,0,#DIV/0!,
-2911.472847,#DIV/0!,23.535,#DIV/0!,-3480.362118,#DIV/0!,-2378.946622,#DIV/0!,0,#DIV/0!,
-2916.061704,#DIV/0!,23.535,#DIV/0!,-3480.911884,#DIV/0!,-2398.4502,#DIV/0!,0,#DIV/0!,
-2921.738872,#DIV/0!,23.536,#DIV/0!,-3503.022172,#DIV/0!,-2466.920289,#DIV/0!,0,#DIV/0!,
-2922.479372,#DIV/0!,23.536,#DIV/0!,-3494.910329,#DIV/0!,-2400.645521,#DIV/0!,0,#DIV/0!,
-2910.040465,#DIV/0!,23.548,#DIV/0!,-3480.044227,#DIV/0!,-2382.518226,#DIV/0!,0,#DIV/0!,
-2918.776871,#DIV/0!,23.548,#DIV/0!,-3485.16041,#DIV/0!,-2454.451462,#DIV/0!,0,#DIV/0!,
-2919.532331,#DIV/0!,23.564,#DIV/0!,-3490.239194,#DIV/0!,-2427.374586,#DIV/0!,0,#DIV/0!,
-2916.514232,#DIV/0!,23.564,#DIV/0!,-3488.89283,#DIV/0!,-2371.990408,#DIV/0!,0,#DIV/0!,
-2927.41604,#DIV/0!,23.565,#DIV/0!,-3495.63961,#DIV/0!,-2441.07384,#DIV/0!,0,#DIV/0!,
