Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
-7.994344,-1.9010096,-101.704094,-8.084069,339.0
-4.2581577,24.710987,-54.834526,-4.3808956,340.0
-0.7029266,13.0118265,-9.840086,-0.7946033,341.0
-0.66378045,3.9313314,-9.553729,-0.7055132,342.0
-1.434592,15.195923,-19.736553,-1.534692,343.0
-0.3025446,29.236647,-4.6309094,-0.35446504,344.0
-0.479122,13.455506,-5.9557633,-0.45007265,345.0
-3.1414623,-12.652014,-39.61615,-3.1413012,346.0
-5.0185695,8.73008,-62.26501,-4.93586,347.0
-6.1699553,29.025246,-76.00228,-6.015523,348.0
-8.04857,-14.690719,-100.23586,-7.976822,349.0
-9.823702,-70.63434,-122.52098,-9.794894,350.0
-9.091357,-24.004488,-112.96032,-9.030411,351.0
-6.7001486,57.726364,-83.072845,-6.697233,352.0
-7.2149825,6.142458,-90.11837,-7.2411366,353.0
-7.2864127,-92.34866,-91.512245,-7.2442837,354.0
-4.128356,-47.204056,-52.717834,-4.1886363,355.0
-3.4179192,80.72161,-44.414497,-3.5074775,356.0
-4.066731,54.24398,-51.901073,-4.057607,357.0
-2.3924444,-89.45596,-30.919605,-2.4494398,358.0
-1.1449593,-75.30249,-15.75745,-1.1523312,359.0
-1.8528243,89.46839,-24.938772,-1.7574406,360.0
-1.3493898,102.41882,-17.958965,-1.2530847,361.0
2.1793113,-37.017017,28.20149,2.324925,362.0
5.138699,-47.5063,65.109215,5.2503347,363.0
6.5559597,73.35631,82.130394,6.5592766,364.0
9.074418,107.44735,114.516594,9.039353,365.0
11.256031,9.135055,141.71733,11.231272,366.0
11.684816,-31.466045,146.49313,11.650183,367.0
12.62192,47.33658,158.23537,12.573541,368.0
14.973982,84.68118,188.06992,14.960672,369.0
15.305223,22.10501,192.6779,15.361526,370.0
13.502543,-22.231003,169.81982,13.626772,371.0
14.10625,18.326668,176.3806,14.15125,372.0
15.845405,52.31096,197.38123,15.711607,373.0
15.348015,17.821156,191.84114,15.203623,374.0
14.244135,-15.863068,179.29756,14.15996,375.0
14.824295,1.0294857,187.07161,14.709733,376.0
14.880509,21.460142,187.3474,14.77433,377.0
12.292304,6.0310626,154.7595,12.269361,378.0
10.856456,-12.684981,137.6247,10.851121,379.0
10.5258665,-9.257342,133.39473,10.460742,380.0
7.5137196,-5.5313144,94.65079,7.4028893,381.0
4.4498487,-10.909894,56.198574,4.3268576,382.0
3.3362892,-12.825959,43.9555,3.2867994,383.0
1.5602607,-14.206657,22.3788,1.6189766,384.0
-2.180426,-23.7262,-26.475618,-2.171552,385.0
-5.7170916,-27.566198,-70.55747,-5.741649,386.0
-6.9764056,-16.18428,-84.68846,-6.8689785,387.0
