Channel 1,Channel 2,Channel 3,Channel 4,Timestamp
-0.5297782,-24.02265,36.446518,-18.765825,1026.0
-0.16989665,27.355232,50.620625,40.57396,1027.0
0.18738565,28.103518,51.704033,120.58286,1028.0
-0.15328857,-33.893543,10.285742,26.588692,1029.0
-0.5064066,-30.538366,-45.107338,-145.3416,1030.0
-0.25090703,-1.5783552,-101.04019,-174.4942,1031.0
0.2319269,-4.102789,-134.01445,-53.625717,1032.0
0.17250963,45.595924,-82.84382,-8.74225,1033.0
-0.2862483,90.3136,22.718374,-119.59948,1034.0
-0.325517,47.067776,83.32311,-103.567215,1035.0
0.030469477,-3.304376,87.89882,176.60086,1036.0
0.07822511,7.3188114,82.94145,253.56888,1037.0
-0.16140597,23.827984,78.67603,22.985481,1038.0
-0.18709241,-2.037917,62.492466,-46.559914,1039.0
-0.12407862,0.83142066,53.476074,110.86819,1040.0
-0.10869949,32.754745,67.26763,208.51001,1041.0
-0.10229095,12.377879,60.04779,67.61755,1042.0
-0.16681452,-33.546265,11.803996,-76.69997,1043.0
-0.28341073,-44.91212,-57.88954,-39.737793,1044.0
-0.23249836,-28.605392,-140.63315,-48.790638,1045.0
-0.011528654,-36.869312,-226.85014,-213.14641,1046.0
0.046986986,-41.011124,-267.20303,-331.79868,1047.0
-0.13484229,-2.2327065,-244.90547,-265.67783,1048.0
-0.22000766,15.058833,-229.9305,-188.45883,1049.0
0.10725372,22.733051,-212.95877,-208.67375,1050.0
0.46683174,47.705036,-167.47702,-217.50726,1051.0
0.15538758,43.90037,-140.07364,-175.1064,1052.0
-0.34499094,17.193033,-129.55933,-130.31169,1053.0
-0.0042243577,-0.722505,-124.15744,-133.5552,1054.0
0.57895637,5.675942,-121.06724,-155.63239,1055.0
0.36104125,8.865906,-130.80984,-164.17885,1056.0
-0.17401129,-13.934303,-149.90982,-173.56827,1057.0
-0.03180285,-22.896751,-151.06612,-174.9885,1058.0
0.42616615,-11.351008,-162.34152,-182.84543,1059.0
0.19735609,-4.753406,-172.90811,-190.6815,1060.0
-0.29480335,-1.2944559,-155.72647,-184.0561,1061.0
-0.2020386,6.7381706,-138.22296,-168.82549,1062.0
0.18683298,-4.761908,-132.74126,-140.2996,1063.0
0.253206,-12.475602,-120.77544,-116.26992,1064.0
-0.018682985,16.40115,-72.94654,-91.78373,1065.0
-0.09150644,19.82609,-15.5413,-46.56532,1066.0
0.17698245,-2.7637677,14.91812,15.709407,1067.0
0.24606282,-12.387724,48.012585,72.86474,1068.0
-0.057416,-12.073451,103.549835,99.49283,1069.0
-0.26048866,0.28938666,153.84645,122.44186,1070.0
-0.0036551072,-19.350422,169.91554,170.41034,1071.0
0.21746404,-48.22196,168.04282,205.3968,1072.0
-0.0365589,-20.403154,181.1294,192.66985,1073.0
-0.21063143,-0.80291593,187.29277,159.84496,1074.0
0.0062393076,-11.653089,169.0268,166.3381,1075.0
0.19357651,15.731753,162.12007,204.7875,1076.0
0.029568566,50.9215,170.86914,195.08002,1077.0
-0.14667381,21.944946,164.66035,141.62556,1078.0
0.013178554,-3.535239,154.9625,144.99147,1079.0
0.18477246,38.08607,164.25891,204.33223,1080.0
0.11309083,39.867504,170.18645,204.3615,1081.0
-0.082839295,-8.008369,155.90723,140.13136,1082.0
-0.15195876,13.181603,167.17967,152.37914,1083.0
-0.07447552,54.459194,211.59982,246.7153,1084.0
-0.10706013,26.225452,217.04877,257.34686,1085.0
-0.1908994,-4.315065,195.17206,186.36775,1086.0
-0.16553281,9.192616,196.95255,175.87091,1087.0
-0.13711713,11.945806,194.00188,218.45038,1088.0
-0.19396341,-25.303785,155.67538,196.62819,1089.0
-0.24856839,-47.999607,102.361244,100.64285,1090.0
-0.17565896,-37.210026,58.26236,33.86542,1091.0
0.011847064,-53.88326,-1.5278088,10.534079,1092.0
0.11540625,-68.15297,-73.20467,-36.456585,1093.0
0.008611506,-39.26763,-122.02275,-119.632484,1094.0
-0.08854057,-21.062098,-165.25845,-193.31569,1095.0
0.033911243,-29.60856,-220.3796,-222.13338,1096.0
0.17026444,-26.20177,-260.3785,-232.70308,1097.0
0.13828266,3.0209916,-270.47696,-266.55008,1098.0
0.0740124,22.899336,-277.66818,-306.13208,1099.0
0.09013519,26.373528,-273.10532,-284.21234,1100.0
0.15997213,36.625927,-244.17331,-223.18977,1101.0
0.19307569,42.052937,-213.5932,-205.36761,1102.0
0.16543007,25.060955,-184.63033,-208.6747,1103.0
0.15367417,-5.976785,-166.52974,-182.9678,1104.0
0.15451562,-6.4665737,-149.60083,-136.2272,1105.0
0.061266772,6.7031217,-128.81494,-119.260704,1106.0
-0.015310378,-6.6238685,-128.09435,-146.18013,1107.0
0.059819724,7.569879,-114.09449,-131.90294,1108.0
0.08861724,14.218514,-83.85863,-74.761024,1109.0
0.018495796,-14.074961,-79.28573,-66.33612,1110.0
-0.06977574,-9.905802,-77.25369,-87.64845,1111.0
-0.0881734,5.0082374,-52.694553,-68.25272,1112.0
0.0074675903,16.234575,-15.275653,-10.645746,1113.0
0.020407617,5.5299873,10.9500675,22.941923,1114.0
-0.03144,-12.329583,28.635895,23.721815,1115.0
-0.029176772,8.736659,60.630676,46.842285,1116.0
-0.015522946,9.071632,91.19768,92.36959,1117.0
-0.014550768,-8.382087,113.35093,124.4266,1118.0
-0.02300188,-0.57827073,131.20807,129.76599,1119.0
-0.056271628,3.9099224,138.25757,127.08862,1120.0
-0.0954001,-9.393815,132.86736,131.4506,1121.0
-0.029679295,-9.986081,125.78322,133.9718,1122.0
0.021269217,11.492449,131.76704,132.19421,1123.0
-0.045390192,5.474888,124.28217,114.123184,1124.0
-0.04383603,-27.74957,77.123055,72.49107,1125.0
0.037373938,-10.335232,33.269394,38.877163,1126.0
0.08654177,38.93726,25.912706,28.48073,1127.0
0.06654557,24.483116,17.774641,12.331119,1128.0
0.023992931,-9.35677,1.961511,-1.292546,1129.0
-0.05830831,-1.0836644,8.883924,12.9761715,1130.0
-0.14905035,11.597054,31.459852,35.224133,1131.0
-0.13019353,9.778549,52.7247,51.94941,1132.0
-0.12147377,14.028001,94.46651,94.45179,1133.0
-0.14021006,35.280502,156.5549,160.79938,1134.0
-0.1396075,31.037794,184.85559,189.78964,1135.0
-0.11120291,15.586088,196.56982,197.13948,1136.0
-0.031288564,23.3782,217.3737,216.25372,1137.0
-0.04888279,2.3409925,203.43816,205.528,1138.0
-0.10817484,-40.75208,162.21094,164.87541,1139.0
-0.03507956,-51.443188,117.096245,117.48588,1140.0
0.0003537426,-24.995525,65.95746,65.70293,1141.0
-0.093079224,-5.1299157,12.334406,12.910898,1142.0
-0.030866675,-17.379093,-46.12462,-45.366062,1143.0
0.06938995,-17.10579,-91.57623,-92.076126,1144.0
-0.006764046,-13.887057,-128.87627,-130.27979,1145.0
0.069805965,-46.15795,-188.5553,-189.59955,1146.0
0.22148572,-34.88077,-230.97026,-231.39577,1147.0
0.157534,15.570096,-234.29387,-233.97057,1148.0
0.104704425,9.214372,-240.7011,-239.86072,1149.0
0.1748743,6.101115,-222.43645,-221.87444,1150.0
0.17712694,23.244497,-164.90451,-165.16727,1151.0
0.099394366,9.707986,-123.06257,-123.40669,1152.0
0.058361355,2.9494681,-96.72122,-95.715225,1153.0
0.012521911,16.531628,-59.287834,-58.313396,1154.0
-0.005427834,22.17182,-19.00038,-19.500187,1155.0
0.048650317,-2.7263093,-6.6059346,-6.668969,1156.0
0.022106072,-27.447636,-26.632536,-25.329023,1157.0
0.0027135385,-13.233511,-43.488987,-42.477234,1158.0
0.027902331,23.426317,-57.19191,-57.914246,1159.0
-0.052923694,24.465471,-86.840935,-87.869965,1160.0
-0.04437908,-18.999338,-109.70187,-108.9331,1161.0
0.053459205,-22.041134,-109.0098,-108.4626,1162.0
0.108376004,-1.1402282,-112.77632,-115.089165,1163.0
0.13967122,-6.6261983,-123.88229,-126.88609,1164.0
0.02981369,16.125862,-90.07129,-91.27618,1165.0
-0.030516941,53.00671,-25.3415,-26.390575,1166.0
0.0025542516,36.43882,8.337653,5.9446034,1167.0
-6.036779e-05,1.5568688,50.87402,48.46208,1168.0
0.0036110247,-0.8300202,117.61185,116.92782,1169.0
-0.09369932,3.5064428,159.06245,160.0294,1170.0
-0.11136674,0.82599837,193.00598,193.34775,1171.0
-0.083316095,0.48372555,218.11635,216.97388,1172.0
-0.05778346,-3.5283496,205.57762,205.83243,1173.0
0.05650723,-18.443304,147.63441,149.98332,1174.0
-0.049196824,-32.408752,68.94327,69.90733,1175.0
-0.09701615,-18.936304,23.695547,22.90217,1176.0
0.012128411,7.3652215,19.360373,19.846024,1177.0
-0.07242932,14.580299,60.0001,62.812954,1178.0
-0.17872825,30.5274,157.48843,160.38573,1179.0
-0.1927816,63.76756,283.96503,284.8476,1180.0
-0.17103124,57.805637,403.16003,404.33536,1181.0
-0.20804559,22.76216,495.0661,497.8663,1182.0
-0.26446477,-11.179917,525.9592,527.95544,1183.0
-0.28780392,-44.034885,454.2759,454.70526,1184.0
-0.32245678,-57.290867,314.76364,314.5257,1185.0
-0.19213006,-85.68987,144.63332,145.52193,1186.0
0.038961478,-110.8523,-60.651707,-59.001797,1187.0
0.15193953,-96.17561,-267.33026,-267.29187,1188.0
0.1387578,-75.74823,-419.99417,-420.80106,1189.0
0.10187054,-26.418417,-474.44916,-474.84692,1190.0
0.18486696,26.580214,-454.36572,-454.98993,1191.0
0.21155308,39.091927,-403.72653,-405.5939,1192.0
0.106338784,55.05151,-310.78226,-313.13428,1193.0
0.09405393,95.69692,-183.0701,-183.94775,1194.0
0.07913658,109.6505,-70.335976,-70.08334,1195.0
0.041373152,49.225845,-15.355145,-15.29478,1196.0
0.049575374,-6.911259,-13.543129,-13.869186,1197.0
0.053314112,-20.69995,-57.288517,-57.08434,1198.0
0.101238064,-42.66363,-157.23495,-156.21709,1199.0
0.13994005,-48.10288,-270.74435,-271.14948,1200.0
0.1661285,-47.7747,-378.5518,-380.682,1201.0
0.19559056,-44.842697,-483.82996,-485.3535,1202.0
0.27844322,-26.823195,-549.8233,-550.97925,1203.0
0.33894727,-27.84226,-566.10254,-567.85956,1204.0
0.21934251,3.1568646,-519.21344,-521.1368,1205.0
0.17321576,51.6099,-424.1978,-425.79904,1206.0
0.21395293,43.060177,-326.56708,-327.295,1207.0
0.20850684,42.046726,-209.49388,-209.49942,1208.0
0.21343474,57.441208,-81.89561,-81.93324,1209.0
0.13475086,42.994633,23.969217,23.50104,1210.0
0.047136016,28.780943,116.7765,116.49476,1211.0
-0.0038986986,55.86084,217.69086,217.88168,1212.0
-0.06844125,82.14689,339.25745,338.56696,1213.0
-0.06929958,22.372936,430.83786,429.7136,1214.0
